################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.5428343186724862E-01 a         1     0     1     1     1
  2.6119825111822420E-01 a         2     0     1     1     2
  2.1349904882047568E+00 a         3     0     1     1     3
  1.8901098128183693E+00 a         4     0     1     1     4
  1.1422327527695881E+00 a         5     0     1     1     5
  7.9747708417095564E-01 a         6     0     1     1     6
 -4.9517821405068685E-01 a         7     0     1     1     7
  8.5212307643275520E-01 a         8     0     1     1     8
  4.8032127074257797E-01 a         9     0     1     1     9
 -2.0516704985907780E-01 a        10     0     1     1    10
  5.7306685983312655E-01 a        11     0     1     1    11
 -3.3470374519644758E-01 a        12     0     1     1    12
  1.0405450435267691E+00 a        13     0     1     1    13
  7.6632567168986726E-02 a        14     0     1     1    14
  1.3685810578847413E+00 a        15     0     1     1    15
  6.5947723453906218E-02 a        16     0     1     1    16
  8.6793166277655889E-03 a        17     0     1     1    17
 -3.7815860611837387E-01 a        18     0     1     1    18
  6.5965240728038832E-01 a        19     0     1     1    19
 -7.4831267869855722E-01 a        20     0     1     1    20
 -8.1654469771099872E-02 a        21     0     2     1     1
  2.4354734183185736E-01 a        22     0     2     1     2
  3.9814128532637832E-01 a        23     0     2     1     3
 -5.0746129446792942E-01 a        24     0     2     1     4
 -1.8759064410495366E-01 a        25     0     2     1     5
 -3.2575326338004312E-01 a        26     0     2     1     6
  3.6153636773870554E-02 a        27     0     2     1     7
 -2.6763530141540374E-02 a        28     0     2     1     8
  2.8163975610069869E-01 a        29     0     2     1     9
  2.9580780704674176E-01 a        30     0     2     1    10
 -3.6951452929362166E-01 a        31     0     2     1    11
 -1.1891207683508929E+00 a        32     0     2     1    12
 -7.2346134679007945E-01 a        33     0     2     1    13
  2.7265566633176302E-01 a        34     0     2     1    14
 -1.1147504128004797E+00 a        35     0     2     1    15
 -9.8325394468515750E-02 a        36     0     2     1    16
  2.3082536104423956E-01 a        37     0     2     1    17
  2.0711763203366110E-01 a        38     0     2     1    18
 -1.9799473288253416E-01 a        39     0     2     1    19
  5.2540740293596670E-02 a        40     0     2     1    20
 -3.1953425100322519E-01 a        41     0     3     1     1
 -9.5525237827554260E-02 a        42     0     3     1     2
  8.4170189471492911E+00 a        43     0     3     1     3
  8.7997792305951816E-01 a        44     0     3     1     4
 -6.9043858682074104E+00 a        45     0     3     1     5
  1.4655864062317672E+00 a        46     0     3     1     6
 -2.9750544873722427E+00 a        47     0     3     1     7
 -2.4963491600623295E+00 a        48     0     3     1     8
  7.2280099252448871E-01 a        49     0     3     1     9
 -3.4553355793312761E+00 a        50     0     3     1    10
 -6.7190198268739838E+00 a        51     0     3     1    11
 -1.4032065878795169E+01 a        52     0     3     1    12
 -8.6070628664726723E+00 a        53     0     3     1    13
  2.5294321361683960E+00 a        54     0     3     1    14
 -5.4080437644509365E+00 a        55     0     3     1    15
 -4.3937079951933772E-01 a        56     0     3     1    16
  7.3542397505436483E+00 a        57     0     3     1    17
 -2.0262960677210633E+00 a        58     0     3     1    18
  3.0042215784310917E+00 a        59     0     3     1    19
 -3.7095211193898359E-02 a        60     0     3     1    20
 -1.2713370005398503E+00 a        61     0     4     1     1
  3.6396433953138549E+00 a        62     0     4     1     2
  5.8153233290642870E-01 a        63     0     4     1     3
  6.1877211955245688E+00 a        64     0     4     1     4
  2.6225056042922961E+00 a        65     0     4     1     5
  2.2048468371629371E+00 a        66     0     4     1     6
  1.3967884037489013E+00 a        67     0     4     1     7
  1.1770371321667306E+00 a        68     0     4     1     8
  2.0261023896844916E+00 a        69     0     4     1     9
 -8.4994407713871634E-01 a        70     0     4     1    10
 -1.5776327338802718E+00 a        71     0     4     1    11
  8.3891058167430177E-01 a        72     0     4     1    12
 -7.3638413138278063E+00 a        73     0     4     1    13
  3.5394393036838254E+00 a        74     0     4     1    14
 -1.5394213473519982E+00 a        75     0     4     1    15
  2.7076594873217397E-01 a        76     0     4     1    16
  1.3509122828353457E+00 a        77     0     4     1    17
  5.9974495596577055E+00 a        78     0     4     1    18
 -2.7743683974339057E+00 a        79     0     4     1    19
 -4.9624106743666054E+00 a        80     0     4     1    20
  2.2315645148459839E-01 a        81     0     5     1     1
  1.9025171748288638E-01 a        82     0     5     1     2
  1.5118292557132060E-01 a        83     0     5     1     3
  3.2940445822311643E-01 a        84     0     5     1     4
  7.8864729980457821E-02 a        85     0     5     1     5
 -6.6894911047416705E-01 a        86     0     5     1     6
  1.0183118897768639E-01 a        87     0     5     1     7
 -1.7467831595776265E-01 a        88     0     5     1     8
 -2.2322296106524489E-02 a        89     0     5     1     9
  3.2560009753950125E-01 a        90     0     5     1    10
  1.7113800925243400E-01 a        91     0     5     1    11
  1.9006868097878180E-01 a        92     0     5     1    12
 -3.1727763716905427E-01 a        93     0     5     1    13
  1.8600806498033173E-01 a        94     0     5     1    14
 -2.2652756441097019E-01 a        95     0     5     1    15
  2.3421813148970705E-01 a        96     0     5     1    16
 -1.2706593982479270E-01 a        97     0     5     1    17
  3.3092350112440305E-01 a        98     0     5     1    18
  7.4212896188494961E-04 a        99     0     5     1    19
 -7.6205677149168247E-02 a       100     0     5     1    20
  1.9497013303809821E-01 a       101     0     6     1     1
 -2.0003080191851267E-02 a       102     0     6     1     2
  1.4993546225932257E+00 a       103     0     6     1     3
 -1.2490130713333554E-01 a       104     0     6     1     4
  1.6052767347685282E+00 a       105     0     6     1     5
 -1.1900566909730828E+00 a       106     0     6     1     6
  5.9371946721951535E-02 a       107     0     6     1     7
 -2.2283899755872022E-01 a       108     0     6     1     8
  7.8937201490170017E-01 a       109     0     6     1     9
  1.0046210164445568E+00 a       110     0     6     1    10
  9.1756243851429409E-01 a       111     0     6     1    11
 -4.9879707346356450E-01 a       112     0     6     1    12
 -1.0983812254098948E+00 a       113     0     6     1    13
  1.0250862231218891E+00 a       114     0     6     1    14
  3.4161869535392068E-02 a       115     0     6     1    15
  3.1021429887602170E-01 a       116     0     6     1    16
 -7.0604348695475960E-01 a       117     0     6     1    17
  1.0942302118354450E+00 a       118     0     6     1    18
  7.8110154023037826E-01 a       119     0     6     1    19
 -9.3680660617476305E-02 a       120     0     6     1    20
  8.1428669979565527E-01 a       121     0     7     1     1
  4.9844307883453975E-01 a       122     0     7     1     2
  1.4966960742308508E+00 a       123     0     7     1     3
  7.4402641583547768E-01 a       124     0     7     1     4
  7.3917000657284460E-02 a       125     0     7     1     5
 -4.9746599635900057E-01 a       126     0     7     1     6
  5.7642714267306672E-01 a       127     0     7     1     7
 -1.9785892526351193E-01 a       128     0     7     1     8
  1.2211500995303288E+00 a       129     0     7     1     9
  4.2406647746950249E-01 a       130     0     7     1    10
  7.1312959832332268E-01 a       131     0     7     1    11
 -2.4207886814658400E-01 a       132     0     7     1    12
 -7.0192879353424009E-01 a       133     0     7     1    13
  5.1053415342598862E-01 a       134     0     7     1    14
  6.3254442759676691E-02 a       135     0     7     1    15
  7.9781743615724532E-01 a       136     0     7     1    16
  4.0588627761638568E-01 a       137     0     7     1    17
  1.0793122661290986E+00 a       138     0     7     1    18
 -2.1319422468722460E-01 a       139     0     7     1    19
 -8.3591671983501259E-01 a       140     0     7     1    20
  4.5979233755121403E+00 a       141     0     8     1     1
  1.3779653105555201E+00 a       142     0     8     1     2
  3.6730068413926213E+00 a       143     0     8     1     3
 -9.0712622908410812E-02 a       144     0     8     1     4
  2.0590576725042058E+00 a       145     0     8     1     5
  1.3410774612539345E+00 a       146     0     8     1     6
 -2.1649539607143509E+00 a       147     0     8     1     7
  1.9749484862676020E-01 a       148     0     8     1     8
  3.0083019875031081E+00 a       149     0     8     1     9
  2.6806859585800922E+00 a       150     0     8     1    10
  3.3802220684061779E+00 a       151     0     8     1    11
 -3.2542976257683351E+00 a       152     0     8     1    12
 -6.7940810739085178E-01 a       153     0     8     1    13
  2.3807772539885486E+00 a       154     0     8     1    14
  1.8037276901673049E+00 a       155     0     8     1    15
 -8.6623905856170380E-01 a       156     0     8     1    16
 -1.1416254993292296E+00 a       157     0     8     1    17
  6.4268200594114688E-01 a       158     0     8     1    18
