################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   4.9589430798220308E-01   1.4567765717662647E-03   1.0646912103432261E-02
         1          2   0.0000000000000000E+00   3.5310126317944601E-01   2.2380968582738964E-04   4.3526595509986599E-03
         1          3   0.0000000000000000E+00   4.4077145558002140E-01   3.0673364757773190E-05   1.7468323433823135E-03
         1          4   0.0000000000000000E+00   3.1576906159946677E-01   4.1133283812704773E-04   1.3349141688707782E-03
         1          5   0.0000000000000000E+00   4.8499163240039271E-02   2.4570141794844334E-03   4.1845644406335366E-03
         1          6   0.0000000000000000E+00   1.3865766580625249E-01   6.5337150482278582E-03   1.0905524232128561E-02
         1          7   0.0000000000000000E+00   2.7119363319550444E-01   8.3212176698605009E-03   1.6670276227072296E-02
         1          8   0.0000000000000000E+00   3.4904144666719855E-01   3.8426206663781711E-03   1.2899351025546164E-02
         1          9   0.0000000000000000E+00   8.7108680322769538E-01   1.5878464767998906E-02   3.4139224941601154E-02
         1         10   0.0000000000000000E+00   7.2368867480963206E-01   2.9682145472406463E-03   1.7079963876683802E-02
         1         11   0.0000000000000000E+00   4.9929549436890625E-01   5.7106228344718878E-05   2.4867011743872481E-03
         1         12   0.0000000000000000E+00   9.0206819544685526E-02   6.1116310795983533E-03   9.9259082359019323E-03
         1         13   0.0000000000000000E+00   2.5645058423288258E-01   1.2624561703969866E-02   2.1347091039456739E-02
         1         14   0.0000000000000000E+00   3.4367507665486891E-01   1.8673941439065943E-02   3.1781770004232393E-02
         1         15   0.0000000000000000E+00   4.7830375709161704E-01   2.5412547649603382E-02   4.1471107235999047E-02
         1         16   0.0000000000000000E+00   1.1513662735003150E+00   1.5797554420968746E-01   1.3937091983772487E-01
         1         17   0.0000000000000000E+00   1.3721628561369659E+00   1.2749634246483585E-01   1.0921041196502114E-01
