################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2816792420762722E+00 a         1     0     1     1     1
 -3.5278933432875975E-01 a         2     0     1     1     2
  4.9586432550677562E-01 a         3     0     1     1     3
  4.7714904923956386E-02 a         4     0     1     1     4
 -5.1816182240999409E-01 a         5     0     1     1     5
 -9.7434840603321152E-02 a         6     0     1     1     6
  2.6240398886452865E-01 a         7     0     1     1     7
  8.8196988839364221E-02 a         8     0     1     1     8
  5.0639053270682166E-01 a         9     0     1     1     9
 -4.7519798435374228E-01 a        10     0     1     1    10
 -1.6076795449591955E-01 a        11     0     1     1    11
 -1.0415000524884155E+00 a        12     0     1     1    12
  1.3383093700064208E-01 a        13     0     1     1    13
  6.0610256911014671E-01 a        14     0     1     1    14
 -4.7090344291200331E-01 a        15     0     1     1    15
  1.6486630221934656E-01 a        16     0     1     1    16
  2.7127625614132217E-01 a        17     0     1     1    17
  3.4871559402113295E-01 a        18     0     1     1    18
  1.0311288622936943E+00 a        19     0     1     1    19
  5.3796850322276357E-01 a        20     0     1     1    20
 -6.8360175115319533E-01 a        21     0     2     1     1
  3.2020458620477443E-01 a        22     0     2     1     2
  3.1701001959265529E-01 a        23     0     2     1     3
 -4.2185544186679153E-01 a        24     0     2     1     4
  4.8161813562803607E-02 a        25     0     2     1     5
 -9.1773601794802062E-01 a        26     0     2     1     6
 -3.2746385455627136E-01 a        27     0     2     1     7
  3.4628478292213904E-01 a        28     0     2     1     8
  6.0589833556274786E-01 a        29     0     2     1     9
  1.5699797384954123E-01 a        30     0     2     1    10
  2.7163405674641870E-03 a        31     0     2     1    11
  8.6527820656387602E-02 a        32     0     2     1    12
 -2.5894936479169217E-01 a        33     0     2     1    13
 -1.2804361413136700E+00 a        34     0     2     1    14
 -1.7110745207229625E-01 a        35     0     2     1    15
  6.2709204475243363E-02 a        36     0     2     1    16
 -4.0221232880904045E-01 a        37     0     2     1    17
  1.4162867111779204E-01 a        38     0     2     1    18
  1.6619726294724285E-01 a        39     0     2     1    19
 -2.0132386488810400E-01 a        40     0     2     1    20
 -3.3729416210075924E-01 a        41     0     3     1     1
  2.7070333064625332E+00 a        42     0     3     1     2
  6.2779207757007516E-01 a        43     0     3     1     3
 -1.2380016204387307E+00 a        44     0     3     1     4
  9.5775722218346881E-01 a        45     0     3     1     5
 -4.8546938145922587E+00 a        46     0     3     1     6
 -7.6758351710907680E-01 a        47     0     3     1     7
  4.3680059906352542E-01 a        48     0     3     1     8
  9.8223072192069327E-01 a        49     0     3     1     9
  6.2847760254301732E-01 a        50     0     3     1    10
  1.8584342940346860E-01 a        51     0     3     1    11
  1.8454680070215377E+00 a        52     0     3     1    12
 -1.7974163352406440E+00 a        53     0     3     1    13
 -3.8940949582971185E+00 a        54     0     3     1    14
 -1.7059030977949791E-01 a        55     0     3     1    15
 -3.9446231944912119E-01 a        56     0     3     1    16
 -1.5239870764222372E+00 a        57     0     3     1    17
  1.0039890582933404E+00 a        58     0     3     1    18
  1.0487726872378220E-01 a        59     0     3     1    19
 -1.6675434047316182E+00 a        60     0     3     1    20
 -3.1710725855744899E+00 a        61     0     4     1     1
  3.5804658802762592E+00 a        62     0     4     1     2
 -5.8776157576725128E+00 a        63     0     4     1     3
 -6.1748208061958119E+00 a        64     0     4     1     4
 -9.7504607092404416E-01 a        65     0     4     1     5
 -8.1564363390962633E+00 a        66     0     4     1     6
 -7.7176406280698782E+00 a        67     0     4     1     7
  5.1302693342985028E+00 a        68     0     4     1     8
  5.5953255338212804E+00 a        69     0     4     1     9
 -8.6787924802567551E-01 a        70     0     4     1    10
 -1.7508049142032611E+00 a        71     0     4     1    11
 -7.3269378922385702E+00 a        72     0     4     1    12
  3.2757132133883267E+00 a        73     0     4     1    13
 -5.9458811067389510E+00 a        74     0     4     1    14
  1.0012246391224051E+00 a        75     0     4     1    15
 -1.1107183775965539E+00 a        76     0     4     1    16
  2.7866446283980908E+00 a        77     0     4     1    17
  2.2422378120491304E+00 a        78     0     4     1    18
  2.7253294760986133E+00 a        79     0     4     1    19
 -3.4479428236809646E+00 a        80     0     4     1    20
  9.6753585237574824E-02 a        81     0     5     1     1
 -6.0294784938013535E-01 a        82     0     5     1     2
  1.8414013746901833E-01 a        83     0     5     1     3
 -5.5186148691520109E-01 a        84     0     5     1     4
 -2.2493228655639175E-01 a        85     0     5     1     5
  4.3161435713759888E-01 a        86     0     5     1     6
 -1.4106778599235572E-03 a        87     0     5     1     7
 -6.1024282606085689E-01 a        88     0     5     1     8
 -4.8636011091686394E-02 a        89     0     5     1     9
 -1.8104743485231631E-01 a        90     0     5     1    10
 -1.7331181980304708E-01 a        91     0     5     1    11
  3.8987655311047342E-01 a        92     0     5     1    12
 -3.7195130344748764E-02 a        93     0     5     1    13
  6.9788970527593822E-02 a        94     0     5     1    14
  4.5820857068989480E-02 a        95     0     5     1    15
  2.8078462670354404E-01 a        96     0     5     1    16
 -2.5222185963973187E-01 a        97     0     5     1    17
  1.7277865189999303E-01 a        98     0     5     1    18
  6.2480350077285018E-01 a        99     0     5     1    19
  3.9767983165068105E-01 a       100     0     5     1    20
 -1.3616768004236783E+00 a       101     0     6     1     1
 -4.9517549703567920E-01 a       102     0     6     1     2
  3.3758222358743728E-01 a       103     0     6     1     3
 -6.2487331581778349E-01 a       104     0     6     1     4
 -2.9493028445094072E-01 a       105     0     6     1     5
 -2.7814512074719605E-01 a       106     0     6     1     6
 -1.2126498072436591E+00 a       107     0     6     1     7
 -7.5233899916973779E-01 a       108     0     6     1     8
  3.2715742669773473E-01 a       109     0     6     1     9
 -8.3398171181655167E-01 a       110     0     6     1    10
 -2.1265580218574848E-01 a       111     0     6     1    11
  4.9180675990015893E-01 a       112     0     6     1    12
  1.0458248793194164E-01 a       113     0     6     1    13
  4.4361596310249307E-01 a       114     0     6     1    14
 -4.9143778583296740E-03 a       115     0     6     1    15
  2.1690516458262402E-01 a       116     0     6     1    16
 -1.5712775723732347E-01 a       117     0     6     1    17
  5.5708792357932013E-01 a       118     0     6     1    18
  1.4692743857574557E+00 a       119     0     6     1    19
  7.0891235188578983E-01 a       120     0     6     1    20
 -1.3708757545493748E+00 a       121     0     7     1     1
 -5.1143284818694412E-01 a       122     0     7     1     2
  2.5134361939447830E-01 a       123     0     7     1     3
 -5.5903422003182712E-01 a       124     0     7     1     4
 -3.3915728511349891E-01 a       125     0     7     1     5
 -7.6122301954501703E-01 a       126     0     7     1     6
  9.9202216244118269E-01 a       127     0     7     1     7
  3.4035268965359350E-01 a       128     0     7     1     8
  1.0824913482707255E+00 a       129     0     7     1     9
 -2.4263186484081178E-01 a       130     0     7     1    10
  6.2467686137918421E-01 a       131     0     7     1    11
  2.4068546068533583E-01 a       132     0     7     1    12
  6.1781143562915797E-01 a       133     0     7     1    13
 -8.6536524004073101E-01 a       134     0     7     1    14
 -2.7741955915719368E-01 a       135     0     7     1    15
  6.8122984176100243E-01 a       136     0     7     1    16
  3.4555077862702205E-01 a       137     0     7     1    17
  5.0055135519715199E-01 a       138     0     7     1    18
  1.2095903468874591E+00 a       139     0     7     1    19
  5.4364511172255281E-01 a       140     0     7     1    20
 -1.5867353042769063E+00 a       141     0     8     1     1
 -5.3152605098684971E+00 a       142     0     8     1     2
  4.3995162431923296E+00 a       143     0     8     1     3
 -2.7654074454597182E+00 a       144     0     8     1     4
 -8.1365884611104700E-01 a       145     0     8     1     5
  1.5476541954109897E+00 a       146     0     8     1     6
  1.1778717369109014E+01 a       147     0     8     1     7
 -4.1829150208180961E+00 a       148     0     8     1     8
  3.2788067553565865E+00 a       149     0     8     1     9
 -2.6301195474061374E+00 a       150     0     8     1    10
  2.4153176313013254E+00 a       151     0     8     1    11
  5.0604973994724025E+00 a       152     0     8     1    12
  1.1444699598835195E+00 a       153     0     8     1    13
  1.5056370643801460E+00 a       154     0     8     1    14
 -4.7061053175900023E+00 a       155     0     8     1    15
  5.6753084960153179E+00 a       156     0     8     1    16
  1.2247415354575053E+00 a       157     0     8     1    17
  2.0889350854833397E+00 a       158     0     8     1    18
  5.8651631296911981E+00 a       159     0     8     1    19
  5.3818495907701118E+00 a       160     0     8     1    20
 -2.0126659428104916E+00 a       161     0     9     1     1
  1.5279211404436766E-01 a       162     0     9     1     2
  8.2260423009376793E-01 a       163     0     9     1     3
 -2.0805140058603047E-01 a       164     0     9     1     4
 -5.4312946833548492E-01 a       165     0     9     1     5
 -9.4588479763774758E-01 a       166     0     9     1     6
 -7.8396462203456210E-02 a       167     0     9     1     7
  6.3008505219215416E-01 a       168     0     9     1     8
  1.1078379341475166E+00 a       169     0     9     1     9
